record_id,series_id,method,picture_id,magnification,suitability_class,reason
Micro-Vickers|710-655|HV 0.05|1|row9,Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,710-655_197_HMV_0.05_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|711-081|HV 0.5|1|row12,Micro-Vickers|SN=711-081|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,711-081_102_HMV_0.5_1_50X,50X,unsuitable for unattended automatic measurement,No suitable indentation contour detected
Micro-Vickers|706-437|HV 0.5|1|row15,Micro-Vickers|SN=706-437|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,706-437_307_HMV_0.5_1_50X,50X,conditionally suitable/requires review,all configured image checks passed; elevated agreement difference
Micro-Vickers|711-246|HV 0.5|1|row18,Micro-Vickers|SN=711-246|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,711-246_502_HMV_0.5_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|710-106|HV 0.5|1|row21,Micro-Vickers|SN=710-106|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,710-106_708_HMV_0.5_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|709-293|HV 0.5|1|row24,Micro-Vickers|SN=709-293|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,709-293_904_HMV_0.5_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|711-081|HV 1|1|row27,Micro-Vickers|SN=711-081|scale=HV 1|F=9.81N|mag=20X,Micro-Vickers,711-081_102_HMV_1_1_20X,20X,unsuitable for unattended automatic measurement,No suitable indentation contour detected
Micro-Vickers|706-437|HV 1|1|row30,Micro-Vickers|SN=706-437|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,706-437_307_HMV_1_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|706-437|HV 1|2|row31,Micro-Vickers|SN=706-437|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,706-437_307_HMV_1_2_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|711-246|HV 1|1|row33,Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,711-246_502_HMV_1_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|711-246|HV 1|3|row35,Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,711-246_502_HMV_1_3_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|710-106|HV 1|1|row36,Micro-Vickers|SN=710-106|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,710-106_708_HMV_1_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|709-293|HV 1|1|row39,Micro-Vickers|SN=709-293|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,709-293_904_HMV_1_1_50X,50X,conditionally suitable/requires review,all configured image checks passed; elevated agreement difference; |E_n| > 1 for corresponding series
Micro-Vickers|711-081|HV 2|1|row42,Micro-Vickers|SN=711-081|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,711-081_102_HMV_2_1_20X,20X,unsuitable for unattended automatic measurement,No suitable indentation contour detected
Micro-Vickers|706-437|HV 2|1|row45,Micro-Vickers|SN=706-437|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,706-437_307_HMV_2_1_50X,20X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|711-246|HV 2|1|row48,Micro-Vickers|SN=711-246|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,711-246_502_HMV_2_1_50X,50X,unsuitable for unattended automatic measurement,opposite-corner consistency failed; unstable radial corner geometry; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|710-106|HV 2|1|row51,Micro-Vickers|SN=710-106|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,710-106_708_HMV_2_1_50X,50X,unsuitable for unattended automatic measurement,all configured image checks passed; excessive agreement difference; excessive Python-automatic difference
Micro-Vickers|709-293|HV 2|1|row54,Micro-Vickers|SN=709-293|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,709-293_904_HMV_2_1_50X,50X,conditionally suitable/requires review,all configured image checks passed; elevated agreement difference
Brinell|293-250|HBW 1/5|1|row3,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,100_HBW_1_5_1_20X,20X,unsuitable for unattended automatic measurement,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference; excessive Python-automatic difference
Brinell|294-367|HBW 1/5|1|row6,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,300_HBW_1_5_1_20X,20X,unsuitable for unattended automatic measurement,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference; excessive Python-automatic difference
Brinell|290-736|HBW 1/5|1|row9,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,600_HBW_1_5_1_20X,20X,unsuitable for unattended automatic measurement,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference; excessive Python-automatic difference
