record_id,series_id,method,picture_id,excel_row,magnification,manual_mean_dimension_um,automatic_mean_dimension_um,manual_hardness,automatic_hardness,image_path,image_status,classification_reason,analysis_type,contour_area_px2,contour_perimeter_px,bbox_x,bbox_y,bbox_w,bbox_h,bbox_aspect,contour_extent,circularity,centrality,corner_count,corner_radius_cv,min_corner_angle_deg,max_corner_angle_deg,edge_strength,python_d1_um,python_d2_um,python_mean_dimension_um,diagonal_ratio,corner_points,python_hardness,python_minus_manual_dimension_um,python_minus_automatic_dimension_um,python_minus_manual_relative_percent,python_minus_automatic_relative_percent,circle_radius_um,radial_residual_sd_um,radial_cv,ellipse_major_um,ellipse_minor_um,ellipse_axis_ratio,diameter_direction_range_4_um,diameter_direction_range_6_um,diameter_0deg_um,diameter_45deg_um,diameter_90deg_um,diameter_135deg_um,diameter6_0deg_um,diameter6_30deg_um,diameter6_60deg_um,diameter6_90deg_um,diameter6_120deg_um,diameter6_150deg_um
Micro-Vickers|710-655|HV 0.05|1|row9,Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,Micro-Vickers,710-655_197_HMV_0.05_1_50X,9,50X,20.842,20.904,217.337,212.139,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\710-655_197_HMV_0.05_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,30343.0,1294.8082177639008,390.0,274.0,246.0,302.0,1.2276422764227641,0.4084289021698164,0.22743509836569312,0.9603451052446663,4.0,0.18613417209572422,47.546422376658846,161.28275072963675,100.06492614746094,27.92311798413138,26.305252916865967,27.114185450498674,1.0615034978898872,"[[571.0, 274.0], [635.0, 463.0], [518.0, 555.0], [390.0, 575.0]]",126.16457129241722,6.272185450498675,6.210185450498674,26.157983132219513,25.86597303598935,,,,,,,,,,,,,,,,,,
Micro-Vickers|711-081|HV 0.5|1|row12,Micro-Vickers|SN=711-081|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,711-081_102_HMV_0.5_1_50X,12,50X,94.375,94.52799999999999,104.08,103.743,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\711-081_102_HMV_0.5_1_50X.bmp,rejected,No suitable indentation contour detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro-Vickers|706-437|HV 0.5|1|row15,Micro-Vickers|SN=706-437|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,706-437_307_HMV_0.5_1_50X,15,50X,54.0125,53.897999999999996,318.225,319.106,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\706-437_307_HMV_0.5_1_50X.bmp,conditionally reliable,all configured image checks passed; elevated agreement difference,Vickers contour-corner,170295.0,3008.4591431617737,253.0,141.0,552.0,553.0,1.0018115942028984,0.5578760122651152,0.23644140163508306,0.9559298760964346,4.0,0.06296484615729889,54.65863161684066,118.77424824388682,105.80169677734375,51.0922562131566,54.31389200213476,52.703074107645676,1.0630552656656522,"[[671.0, 164.0], [804.0, 515.0], [613.0, 684.0], [253.0, 439.0]]",333.93246620628923,-1.3094258923543265,-1.1949258923543198,-2.454048349181888,-2.2418646385264087,,,,,,,,,,,,,,,,,,
Micro-Vickers|711-246|HV 0.5|1|row18,Micro-Vickers|SN=711-246|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,711-246_502_HMV_0.5_1_50X,18,50X,42.89,43.05200000000001,503.927,500.142,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\711-246_502_HMV_0.5_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,217562.0,7052.242099285126,216.0,143.0,686.0,613.0,1.1190864600326265,0.5173666763372793,0.05497161303107629,0.9551790933315019,4.0,0.15023904872048732,67.93034981412379,106.36911019381762,29.291316986083984,64.60728306680444,71.249706684686,67.92849487574523,1.1028123038545552,"[[295.0, 256.0], [806.0, 146.0], [828.0, 648.0], [234.0, 599.0]]",201.0141162567536,25.03849487574523,24.876494875745223,45.18829623849256,44.83039096842589,,,,,,,,,,,,,,,,,,
Micro-Vickers|710-106|HV 0.5|1|row21,Micro-Vickers|SN=710-106|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,710-106_708_HMV_0.5_1_50X,21,50X,35.2145,34.938,747.544,759.423,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\710-106_708_HMV_0.5_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,79888.0,1623.5777697563171,350.0,257.0,381.0,376.0,1.0132978723404256,0.5576590160272519,0.3808423358605527,0.9814355595915869,4.0,0.04666655638776542,45.02313082301381,171.80782369291776,30.951507568359375,29.845409774289024,33.63331455123913,31.739362162764078,1.1269174993942714,"[[727.0, 378.0], [683.0, 553.0], [557.0, 632.0], [350.0, 465.0]]",920.7339366695505,-3.4751378372359234,-3.1986378372359248,-10.380694182474201,-9.594374262820496,,,,,,,,,,,,,,,,,,
Micro-Vickers|709-293|HV 0.5|1|row24,Micro-Vickers|SN=709-293|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,709-293_904_HMV_0.5_1_50X,24,50X,30.8025,30.9315,977.03,968.929,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\709-293_904_HMV_0.5_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,60891.0,1144.5971026420593,359.0,275.0,331.0,355.0,1.0725075528700907,0.5181992255648695,0.5840602984036448,0.9917671005912344,4.0,0.0648418233750368,77.16655587538908,113.62930063507793,35.930267333984375,34.64055926747476,32.23357172078541,33.43706549413008,1.0746733116497056,"[[557.0, 275.0], [689.0, 467.0], [534.0, 629.0], [359.0, 475.0]]",829.6104785290023,2.634565494130083,2.5055654941300816,8.202314177765782,7.785059290651956,,,,,,,,,,,,,,,,,,
Micro-Vickers|711-081|HV 1|1|row27,Micro-Vickers|SN=711-081|scale=HV 1|F=9.81N|mag=20X,Micro-Vickers,711-081_102_HMV_1_1_20X,27,20X,133.918,134.188,103.379,102.963,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\711-081_102_HMV_1_1_20X.bmp,rejected,No suitable indentation contour detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro-Vickers|706-437|HV 1|1|row30,Micro-Vickers|SN=706-437|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,706-437_307_HMV_1_1_50X,30,50X,77.7295,77.51650000000001,306.858,308.543,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\706-437_307_HMV_1_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,11869.5,1060.7178171873093,124.0,669.0,178.0,193.0,1.0842696629213484,0.3455056179775281,0.13256917726892564,0.3541077803714706,4.0,0.1816365427109676,84.63324480070696,97.21970672933546,62.2414665222168,18.515716371574687,19.40633256534516,18.961024468459925,1.0481005528437315,"[[125.0, 754.0], [251.0, 669.0], [300.0, 827.0], [181.0, 855.0]]",5159.848363866886,-58.768475531540076,-58.55547553154008,-121.55994779138906,-121.3867703470829,,,,,,,,,,,,,,,,,,
Micro-Vickers|706-437|HV 1|2|row31,Micro-Vickers|SN=706-437|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,706-437_307_HMV_1_2_50X,31,50X,75.6685,75.219,323.417,327.684,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\706-437_307_HMV_1_2_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,20113.0,1914.2985513210297,671.0,532.0,331.0,247.0,1.3400809716599191,0.24600951600474577,0.06897113553909019,0.4630795737600204,4.0,0.3479678631337499,60.722233534985875,144.61756046347153,74.0,28.59159544155167,25.794259173370357,27.192927307461012,1.1084480174204516,"[[982.0, 532.0], [935.0, 716.0], [806.0, 766.0], [671.0, 707.0]]",2508.6993239031144,-48.47557269253898,-48.02607269253898,-94.25413191602256,-93.7899987925335,,,,,,,,,,,,,,,,,,
Micro-Vickers|711-246|HV 1|1|row33,Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,711-246_502_HMV_1_1_50X,33,50X,60.902,60.9225,499.858,499.513,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\711-246_502_HMV_1_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,401759.5,8218.925426602364,74.0,56.0,910.0,787.0,1.156289707750953,0.5609834257229429,0.07473876875328923,0.9973965286121247,4.0,0.04361854407778579,50.424638096548094,136.9164449243547,29.732135772705078,84.54491562103446,89.63681194742263,87.09086378422855,1.0602271146524311,"[[713.0, 63.0], [971.0, 340.0], [325.0, 837.0], [74.0, 535.0]]",244.5768460544958,26.188863784228545,26.168363784228546,35.39206298813371,35.359460950264406,,,,,,,,,,,,,,,,,,
Micro-Vickers|711-246|HV 1|3|row35,Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,711-246_502_HMV_1_3_50X,35,50X,60.0825,59.969,513.587,515.533,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\711-246_502_HMV_1_3_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,249872.5,5310.622699379921,122.0,47.0,757.0,689.0,1.0986937590711177,0.4790748370793734,0.11133646577403825,0.9092540608042842,4.0,0.11866873008089444,45.76853869117409,185.85768163043136,90.24411010742188,56.05457921996164,77.32928052523091,66.69192987259628,1.3795354741989236,"[[323.0, 192.0], [732.0, 47.0], [876.0, 346.0], [122.0, 552.0]]",417.0748156986552,6.609429872596273,6.722929872596275,10.427070946780848,10.615633217533821,,,,,,,,,,,,,,,,,,
Micro-Vickers|710-106|HV 1|1|row36,Micro-Vickers|SN=710-106|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,710-106_708_HMV_1_1_50X,36,50X,50.668,50.3055,722.175,732.635,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\710-106_708_HMV_1_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,173078.0,3637.7585709095,265.0,111.0,568.0,604.0,1.0633802816901408,0.5044946833317787,0.16435540347048475,0.9410547753519474,4.0,0.07933117682450323,50.017670432831714,166.80948993663245,50.9215087890625,54.34092135023195,60.38494756753526,57.3629344588836,1.111224213118306,"[[295.0, 296.0], [586.0, 111.0], [832.0, 442.0], [768.0, 702.0]]",563.7646183318637,6.694934458883601,7.057434458883598,12.394476623603923,13.109570124898006,,,,,,,,,,,,,,,,,,
Micro-Vickers|709-293|HV 1|1|row39,Micro-Vickers|SN=709-293|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,709-293_904_HMV_1_1_50X,39,50X,45.101,44.291,911.46,945.102,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\709-293_904_HMV_1_1_50X.bmp,conditionally reliable,all configured image checks passed; elevated agreement difference,Vickers contour-corner,113963.5,1625.1240140199661,302.0,206.0,465.0,466.0,1.0021505376344086,0.5259287461350316,0.5422538286084831,0.9839673765502234,4.0,0.055336672086439324,80.01141674614128,109.15564102478218,26.68332862854004,45.211394592227236,45.410052027477334,45.310723309852285,1.0043939683135599,"[[553.0, 208.0], [766.0, 436.0], [553.0, 671.0], [302.0, 467.0]]",903.5632236544817,0.20972330985228638,1.0197233098522887,0.4639294599739867,2.2761243248100866,,,,,,,,,,,,,,,,,,
Micro-Vickers|711-081|HV 2|1|row42,Micro-Vickers|SN=711-081|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,711-081_102_HMV_2_1_20X,42,20X,189.9425,190.1445,102.777,102.558,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\711-081_102_HMV_2_1_20X.bmp,rejected,No suitable indentation contour detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro-Vickers|706-437|HV 2|1|row45,Micro-Vickers|SN=706-437|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,706-437_307_HMV_2_1_50X,45,20X,108.5715,108.619,314.563,314.288,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\706-437_307_HMV_2_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,1219.5,226.18376553058624,978.0,146.0,66.0,43.0,1.5348837209302326,0.4297040169133192,0.2995496446465295,0.1933836458561664,4.0,0.17614102581934457,58.467414730282016,129.3703237842369,69.065185546875,14.642274165662084,15.10029921186742,14.871286688764751,1.0312810046460856,"[[991.0, 152.0], [1031.0, 152.0], [1043.0, 182.0], [978.0, 184.0]]",16776.19400556037,-93.70021331123525,-93.74771331123524,-151.81156521924734,-151.8301006904448,,,,,,,,,,,,,,,,,,
Micro-Vickers|711-246|HV 2|1|row48,Micro-Vickers|SN=711-246|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,711-246_502_HMV_2_1_50X,48,50X,84.672,84.563,517.202,518.536,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\711-246_502_HMV_2_1_50X.bmp,rejected,opposite-corner consistency failed; unstable radial corner geometry; excessive agreement difference,Vickers contour-corner,2256.0,345.82337474823,234.0,670.0,85.0,109.0,1.2823529411764707,0.24349703184025903,0.23705016948949448,0.4602205750344648,4.0,0.5946575401997855,55.861556826616976,117.98594695861716,78.52384185791016,13.360411502855523,3.3329582624508696,8.346684882653197,4.008574500729281,"[[234.0, 670.0], [284.0, 717.0], [318.0, 778.0], [255.0, 735.0]]",53255.25844345068,-76.3253151173468,-76.21631511734681,-164.1074913360348,-164.0653828793189,,,,,,,,,,,,,,,,,,
Micro-Vickers|710-106|HV 2|1|row51,Micro-Vickers|SN=710-106|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,710-106_708_HMV_2_1_50X,51,50X,70.8015,70.75999999999999,739.699,740.567,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\710-106_708_HMV_2_1_50X.bmp,rejected,all configured image checks passed; excessive agreement difference,Vickers contour-corner,316965.5,5489.863252043724,150.0,61.0,779.0,731.0,1.0656634746922025,0.5566178885203065,0.13215962718077276,0.9647882947236619,4.0,0.07805518187280987,51.988799603459086,172.16176635652238,49.33558654785156,76.2139347499743,74.90121303351481,75.55757389174455,1.0175260408115434,"[[833.0, 122.0], [917.0, 586.0], [431.0, 791.0], [152.0, 530.0]]",649.882021663988,4.756073891744549,4.7975738917445625,6.49918555136856,6.55775483988564,,,,,,,,,,,,,,,,,,
Micro-Vickers|709-293|HV 2|1|row54,Micro-Vickers|SN=709-293|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,709-293_904_HMV_2_1_50X,54,50X,63.6595,63.747,914.984,912.473,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\709-293_904_HMV_2_1_50X.bmp,conditionally reliable,all configured image checks passed; elevated agreement difference,Vickers contour-corner,225888.0,2597.498685359955,191.0,107.0,675.0,670.0,1.007462686567164,0.4994759535655058,0.42071921878843616,0.9913050891375146,4.0,0.11441325437832674,72.68685455801017,106.42184389599501,30.5941162109375,65.5433703961993,65.13438502362736,65.33887770991333,1.0062791008531604,"[[191.0, 441.0], [480.0, 110.0], [862.0, 424.0], [517.0, 776.0]]",869.0548562972049,1.6793777099133322,1.5918777099133337,2.603719116049433,2.466385538301349,,,,,,,,,,,,,,,,,,
Brinell|293-250|HBW 1/5|1|row3,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,100_HBW_1_5_1_20X,3,20X,210.949,212.334,141.497,139.636,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\100_HBW_1_5_1_20X.bmp,rejected,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference,Brinell contour-diameter,944225.0,3900.0,0.0,0.0,1056.0,896.0,1.1785714285714286,0.9979380157602814,0.780110538681347,1.0,,,,,,257.5609756097561,218.53658536585365,238.0487804878049,,,110.79745781111156,27.09978048780488,25.714780487804887,12.071231380414776,11.419077994035863,168.7185594512195,16.819772502038134,0.12343622976055561,307.76123046875,255.75808641387195,1.2033294226745415,118.01420080823601,113.6967807298982,257.3170731707317,336.3068837350653,218.2926829268293,336.3068837350653,257.3170731707317,331.9894636567275,317.70554546026165,218.2926829268293,317.70554546026153,331.9894636567275
Brinell|294-367|HBW 1/5|1|row6,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,300_HBW_1_5_1_20X,6,20X,154.623,155.51749999999998,264.758,261.701,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\300_HBW_1_5_1_20X.bmp,rejected,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference,Brinell contour-diameter,944225.0,3900.0,0.0,0.0,1056.0,896.0,1.1785714285714286,0.9979380157602814,0.780110538681347,1.0,,,,,,257.5609756097561,218.53658536585365,238.0487804878049,,,110.79745781111156,83.4257804878049,82.5312804878049,42.49135518939886,41.94021926142234,168.7185594512195,16.819772502038134,0.12343622976055561,307.76123046875,255.75808641387195,1.2033294226745415,118.01420080823601,113.6967807298982,257.3170731707317,336.3068837350653,218.2926829268293,336.3068837350653,257.3170731707317,331.9894636567275,317.70554546026165,218.2926829268293,317.70554546026153,331.9894636567275
Brinell|290-736|HBW 1/5|1|row9,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,Brinell,600_HBW_1_5_1_20X,9,20X,115.937,117.39699999999999,472.178,460.467,C:\Users\Korisnik\Desktop\RMS-TracInd-analysis\images\indentations\600_HBW_1_5_1_20X.bmp,rejected,incomplete contour touches image boundary; large radial residual variation; excessive agreement difference,Brinell contour-diameter,944225.0,3900.0,0.0,0.0,1056.0,896.0,1.1785714285714286,0.9979380157602814,0.780110538681347,1.0,,,,,,257.5609756097561,218.53658536585365,238.0487804878049,,,110.79745781111156,122.1117804878049,120.6517804878049,68.99247778796682,67.88758629922427,168.7185594512195,16.819772502038134,0.12343622976055561,307.76123046875,255.75808641387195,1.2033294226745415,118.01420080823601,113.6967807298982,257.3170731707317,336.3068837350653,218.2926829268293,336.3068837350653,257.3170731707317,331.9894636567275,317.70554546026165,218.2926829268293,317.70554546026153,331.9894636567275
